name,group,groupStr,slope_delay,slope_probe
DMSS030,2,Old,-0.1305955607089,-0.122297805651762
DMSS031,2,Old,-0.00651437850632619,-0.0540853606579911
DMSS032,2,Old,-0.25958947002353,-0.259082275345856
DMSS036,2,Old,-0.0240594405638314,0.0533736667677317
DMSS037,2,Old,0.0223081440909321,0.000238225768110794
DMSS038,2,Old,0.153029179219498,0.102290590351924
DMSS039,2,Old,0.0449345048681076,0.0603928719325608
DMSS040,2,Old,0.00015741284162916,0.0214975964731241
DMSS041,2,Old,-0.0126436798222669,0.00455954250499616
DMSS046,2,Old,0.0341701623684223,0.0285824541645262
DMSS050,2,Old,0.0528115324124478,-0.0802619241902918
DMSS051,2,Old,-0.0910853915951939,0.0477476341399742
DMSS052,2,Old,0.0787594147002279,0.0957377951213592
DMSS053,2,Old,-0.0162642567641623,-0.101138877855224
DMSS054,2,Old,0.07440706504186,0.152042940702289
DMSS055,2,Old,-0.0847847979853713,-0.0728100493149397
DMSS056,2,Old,0.163910664265219,0.136093978923455
DMSS057,2,Old,0.0382799053242771,0.0325355470869098
DMSS058,2,Old,-0.0982310008356028,-0.141168484911741
DMSS059,2,Old,-0.0744850599067512,-0.134557662607478
DMSS061,2,Old,0.0100114465607498,0.0280455362007645
dmss01,1,Young,0.0364851715894565,0.0719202023050846
dmss02,1,Young,-0.0706923377470908,-0.111797882948086
dmss03,1,Young,-0.044848495598024,0.0410836684150459
dmss06,1,Young,0.101717010950861,0.00853789819603912
dmss07,1,Young,-0.00136169159948432,-0.0269788272389442
dmss08,1,Young,0.0959976406162785,-0.0572893885913304
dmss11,1,Young,-0.0577644809554768,-0.155997336572905
dmss13,1,Young,0.101728274907723,-0.141895020347208
dmss14,1,Young,-0.0987031606479989,-0.109712889801823
dmss15,1,Young,-0.0854873915443415,-0.0893027762018587
dmss16,1,Young,0.113730269227783,0.0442270993591514
dmss17,1,Young,-0.340372404697058,-0.259022469744799
dmss19,1,Young,-0.243648319461878,-0.304225644654865
dmss20,1,Young,0.133304072103759,0.186282502004552
dmss21,1,Young,-0.0102055248613182,0.132590193114807
dmss22,1,Young,-0.238560459915986,-0.306647078126902
dmss25,1,Young,-0.00869166134228998,0.0541472969604383
dmss26,1,Young,-0.0742314852160534,-0.185659387010123
dmss27,1,Young,0.0223015694200642,-0.015527323777115
dmss29,1,Young,0.139484325464757,0.0897296739737311
